filename,Language,Story_type
00001_segment_1.wav,Hindi,deceptive_story
00001_segment_2.wav,Hindi,deceptive_story
00001_segment_3.wav,Hindi,deceptive_story
00001_segment_4.wav,Hindi,deceptive_story
00002_segment_1.wav,English,true_story
00002_segment_2.wav,English,true_story
00002_segment_3.wav,English,true_story
00002_segment_4.wav,English,true_story
00003_segment_1.wav,English,deceptive_story
00003_segment_2.wav,English,deceptive_story
00003_segment_3.wav,English,deceptive_story
00003_segment_4.wav,English,deceptive_story
00003_segment_5.wav,English,deceptive_story
00004_segment_1.wav,Bengali,deceptive_story
00004_segment_2.wav,Bengali,deceptive_story
00004_segment_3.wav,Bengali,deceptive_story
00004_segment_4.wav,Bengali,deceptive_story
00005_segment_1.wav,English,deceptive_story
00005_segment_2.wav,English,deceptive_story
00005_segment_3.wav,English,deceptive_story
00005_segment_4.wav,English,deceptive_story
00006_segment_1.wav,English,deceptive_story
00006_segment_2.wav,English,deceptive_story
00006_segment_3.wav,English,deceptive_story
00007_segment_1.wav,English,true_story
00007_segment_2.wav,English,true_story
00007_segment_3.wav,English,true_story
00007_segment_4.wav,English,true_story
00007_segment_5.wav,English,true_story
00008_segment_1.wav,Kannada,deceptive_story
00008_segment_2.wav,Kannada,deceptive_story
00008_segment_3.wav,Kannada,deceptive_story
00009_segment_1.wav,French,deceptive_story
00009_segment_2.wav,French,deceptive_story
00009_segment_3.wav,French,deceptive_story
00009_segment_4.wav,French,deceptive_story
00009_segment_5.wav,French,deceptive_story
00010_segment_1.wav,English,true_story
00010_segment_2.wav,English,true_story
00010_segment_3.wav,English,true_story
00010_segment_4.wav,English,true_story
00010_segment_5.wav,English,true_story
00010_segment_6.wav,English,true_story
00010_segment_7.wav,English,true_story
00011_segment_1.wav,English,deceptive_story
00011_segment_2.wav,English,deceptive_story
00011_segment_3.wav,English,deceptive_story
00011_segment_4.wav,English,deceptive_story
00011_segment_5.wav,English,deceptive_story
00012_segment_1.wav,English,true_story
00012_segment_2.wav,English,true_story
00012_segment_3.wav,English,true_story
00012_segment_4.wav,English,true_story
00013_segment_1.wav,English,deceptive_story
00013_segment_2.wav,English,deceptive_story
00013_segment_3.wav,English,deceptive_story
00014_segment_1.wav,English,true_story
00014_segment_2.wav,English,true_story
00014_segment_3.wav,English,true_story
00014_segment_4.wav,English,true_story
00014_segment_5.wav,English,true_story
00014_segment_6.wav,English,true_story
00015_segment_1.wav,English,deceptive_story
00015_segment_2.wav,English,deceptive_story
00015_segment_3.wav,English,deceptive_story
00016_segment_1.wav,English,true_story
00016_segment_2.wav,English,true_story
00016_segment_3.wav,English,true_story
00016_segment_4.wav,English,true_story
00016_segment_5.wav,English,true_story
00016_segment_6.wav,English,true_story
00017_segment_1.wav,Arabic,true_story
00017_segment_2.wav,Arabic,true_story
00017_segment_3.wav,Arabic,true_story
00017_segment_4.wav,Arabic,true_story
00017_segment_5.wav,Arabic,true_story
00018_segment_1.wav,English,true_story
00018_segment_2.wav,English,true_story
00018_segment_3.wav,English,true_story
00018_segment_4.wav,English,true_story
00019_segment_1.wav,English,deceptive_story
00019_segment_2.wav,English,deceptive_story
00019_segment_3.wav,English,deceptive_story
00019_segment_4.wav,English,deceptive_story
00020_segment_1.wav,Russian,true_story
00020_segment_2.wav,Russian,true_story
00020_segment_3.wav,Russian,true_story
00020_segment_4.wav,Russian,true_story
00021_segment_1.wav,English,true_story
00021_segment_2.wav,English,true_story
00021_segment_3.wav,English,true_story
00021_segment_4.wav,English,true_story
00022_segment_1.wav,English,deceptive_story
00022_segment_2.wav,English,deceptive_story
00022_segment_3.wav,English,deceptive_story
00022_segment_4.wav,English,deceptive_story
00022_segment_5.wav,English,deceptive_story
00022_segment_6.wav,English,deceptive_story
00023_segment_1.wav,"Chinese, Mandarin",deceptive_story
00023_segment_2.wav,"Chinese, Mandarin",deceptive_story
00023_segment_3.wav,"Chinese, Mandarin",deceptive_story
00023_segment_4.wav,"Chinese, Mandarin",deceptive_story
00023_segment_5.wav,"Chinese, Mandarin",deceptive_story
00023_segment_6.wav,"Chinese, Mandarin",deceptive_story
00023_segment_7.wav,"Chinese, Mandarin",deceptive_story
00024_segment_1.wav,Marathi,true_story
00024_segment_2.wav,Marathi,true_story
00024_segment_3.wav,Marathi,true_story
00024_segment_4.wav,Marathi,true_story
00025_segment_1.wav,English,true_story
00025_segment_2.wav,English,true_story
00026_segment_1.wav,English,true_story
00026_segment_2.wav,English,true_story
00026_segment_3.wav,English,true_story
00026_segment_4.wav,English,true_story
00027_segment_1.wav,English,deceptive_story
00027_segment_2.wav,English,deceptive_story
00027_segment_3.wav,English,deceptive_story
00027_segment_4.wav,English,deceptive_story
00027_segment_5.wav,English,deceptive_story
00028_segment_1.wav,English,true_story
00028_segment_2.wav,English,true_story
00028_segment_3.wav,English,true_story
00028_segment_4.wav,English,true_story
00028_segment_5.wav,English,true_story
00029_segment_1.wav,English,true_story
00029_segment_2.wav,English,true_story
00029_segment_3.wav,English,true_story
00029_segment_4.wav,English,true_story
00030_segment_1.wav,"Chinese, Mandarin",true_story
00030_segment_2.wav,"Chinese, Mandarin",true_story
00030_segment_3.wav,"Chinese, Mandarin",true_story
00030_segment_4.wav,"Chinese, Mandarin",true_story
00030_segment_5.wav,"Chinese, Mandarin",true_story
00031_segment_1.wav,English,deceptive_story
00031_segment_2.wav,English,deceptive_story
00031_segment_3.wav,English,deceptive_story
00031_segment_4.wav,English,deceptive_story
00032_segment_1.wav,Portuguese,deceptive_story
00032_segment_2.wav,Portuguese,deceptive_story
00032_segment_3.wav,Portuguese,deceptive_story
00032_segment_4.wav,Portuguese,deceptive_story
00032_segment_5.wav,Portuguese,deceptive_story
00033_segment_1.wav,English,deceptive_story
00033_segment_2.wav,English,deceptive_story
00033_segment_3.wav,English,deceptive_story
00033_segment_4.wav,English,deceptive_story
